Stimuli,Condition,Feature,subject,accuracy
Chinese_stimuli,Syllables,Phoneme Onset,sub-003,-1.2258734385595457e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-005,2.7241248715419552e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-007,0.00062997084285641
Chinese_stimuli,Syllables,Phoneme Onset,sub-008,0.00019862259891380442
Chinese_stimuli,Syllables,Phoneme Onset,sub-009,0.000568948978645401
Chinese_stimuli,Syllables,Phoneme Onset,sub-010,0.0002066724714165582
Chinese_stimuli,Syllables,Phoneme Onset,sub-012,8.755955573479327e-05
Chinese_stimuli,Syllables,Phoneme Onset,sub-013,0.00040143148862934895
Chinese_stimuli,Syllables,Phoneme Onset,sub-014,0.00011620624877911305
Chinese_stimuli,Syllables,Phoneme Onset,sub-015,0.0004924336031297773
Chinese_stimuli,Syllables,Phoneme Onset,sub-016,0.0004501398929061093
Chinese_stimuli,Syllables,Phoneme Onset,sub-017,0.0002290646607914048
Chinese_stimuli,Syllables,Phoneme Onset,sub-018,0.000497893722379641
Chinese_stimuli,Syllables,Phoneme Onset,sub-019,0.00023698252457316285
Chinese_stimuli,Syllables,Phoneme Onset,sub-020,0.00014196922128041455
