Condition,Feature,subject,accuracy
random_syllables,Phoneme Onset,sub-008,0.002782698465435164
random_syllables,Phoneme Onset,sub-009,0.00310102056526882
random_syllables,Phoneme Onset,sub-010,0.00265793116437195
random_syllables,Phoneme Onset,sub-011,0.0014776172767843633
random_syllables,Phoneme Onset,sub-012,0.0011909584712791023
random_syllables,Phoneme Onset,sub-013,0.0021303341142372137
random_syllables,Phoneme Onset,sub-015,0.0006856923114552868
random_syllables,Phoneme Onset,sub-016,0.00018269778240679523
random_syllables,Phoneme Onset,sub-017,0.005018947450201755
random_syllables,Phoneme Onset,sub-018,0.004280446442665334
random_syllables,Phoneme Onset,sub-019,0.0003400635608591462
random_syllables,Phoneme Onset,sub-020,0.0024092389665519983
random_syllables,Phoneme Onset,sub-021,0.0021594661300098107
random_syllables,Phoneme Onset,sub-022,0.0031377606875827545
random_syllables,Phoneme Onset,sub-023,0.001364684790552901
random_syllables,Phoneme Onset,sub-024,0.00010674529595141178
random_syllables,Phoneme Onset,sub-025,0.0008206226443295719
random_syllables,Phoneme Onset,sub-026,0.001679174187675625
random_syllables,Phoneme Onset,sub-027,0.0016987462079604328
random_syllables,Phoneme Onset,sub-028,0.0020023350464567725
random_syllables,Phoneme Onset,sub-030,0.0016301523831788202
random_syllables,Phoneme Onset,sub-031,0.0005127456472452274
random_syllables,Phoneme Onset,sub-032,0.0011345791300367012
random_syllables,Phoneme Onset,sub-033,0.0010704050389236195
random_syllables,Phoneme Onset,sub-034,0.002050608663892133
random_syllables,Phoneme Onset,sub-035,0.0012536574300262542
random_syllables,Phoneme Onset,sub-036,0.0019395952671619925
random_syllables,Phoneme Onset,sub-037,0.0030726803193763417
random_syllables,Phoneme Onset,sub-038,0.0029868966770310243
