Stimuli,condition,feature,subject,accuracy
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-009,0.00010425550045775045
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-010,8.917250460041982e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-012,3.611177745396201e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-013,0.00012328199447025892
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-014,1.411992072477403e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-015,9.908730825019412e-06
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-016,4.983682149154562e-06
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-017,1.5263450221412983e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-018,0.00013865675359072972
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-019,6.388783536946733e-05
Dutch_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-020,6.269564760414184e-06
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-003,-4.605831063030307e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-005,-8.889692176205859e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-007,0.0003671994328500628
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-008,0.00014591955242750432
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-009,0.00017063550459044203
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-010,8.905402427177706e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-012,0.0001208523039159558
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-013,0.00017527582266796757
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-014,3.9620891389259365e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-015,0.00036322472029645724
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-016,0.0001262879175682939
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-017,0.00019272009618025084
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-018,0.00023699647206828117
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-019,8.213626345851525e-05
Chinese_stimuli,Syllables,Phoneme Surprisal/Entropy,sub-020,5.507708291700087e-05
